Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp        0      0 krabikUkrainian:45260   104.18.31.182:http      ESTABLISHED
tcp        0      0 krabikUkrainian:59296   waw02s07-in-f3.1e1:http ESTABLISHED
tcp        0      0 krabikUkrainian:39008   ec2-34-233-176-53:https ESTABLISHED
tcp        0      0 krabikUkrainian:36414   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:58298   93.184.220.29:http      ESTABLISHED
tcp        0      0 krabikUkrainian:43936   151.101.112.233:https   ESTABLISHED
tcp        0      0 krabikUkrainian:59360   server-13-32-110-:https ESTABLISHED
tcp        0      0 krabikUkrainian:33942   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:46108   a104-96-92-79.dep:https ESTABLISHED
tcp        0      0 krabikUkrainian:50998   mil02s06-in-f2.1e:https TIME_WAIT  
tcp        0      0 krabikUkrainian:44242   waw07s03-in-f6.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:54634   104.18.7.29:https       TIME_WAIT  
tcp        0      0 krabikUkrainian:56378   91.228.74.226:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:42310   ec2-52-38-162-110:https ESTABLISHED
tcp        0      0 krabikUkrainian:33936   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:37360   ru.a.gcdn.co:https      ESTABLISHED
tcp        0      0 krabikUkrainian:51000   mil02s06-in-f2.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:56556   waw02s13-in-f14.1:https TIME_WAIT  
tcp        0      0 krabikUkrainian:55220   srv240-vps-st.jin:https ESTABLISHED
tcp        0      0 krabikUkrainian:59292   waw02s07-in-f3.1e1:http ESTABLISHED
tcp        0      0 krabikUkrainian:52348   104.16.182.15:https     ESTABLISHED
tcp        0      0 krabikUkrainian:43280   178.250.2.146:https     ESTABLISHED
tcp        0      0 krabikUkrainian:56558   waw02s13-in-f14.1:https ESTABLISHED
tcp        0      0 krabikUkrainian:44896   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:34372   waw02s08-in-f202.:https TIME_WAIT  
tcp        0      0 krabikUkrainian:42490   waw02s22-in-f19.1:https ESTABLISHED
tcp        0      0 krabikUkrainian:45910   185.4.64.197:https      TIME_WAIT  
tcp        0      0 krabikUkrainian:32802   ec2-54-216-116-12:https ESTABLISHED
tcp        0      0 krabikUkrainian:37338   waw07s06-in-f13.1:https ESTABLISHED
tcp        0      0 krabikUkrainian:39352   ec2-54-70-105-250:https ESTABLISHED
tcp        0      0 krabikUkrainian:35968   ec2-34-253-105-22:https ESTABLISHED
tcp        0      0 krabikUkrainian:40448   ec2-34-255-166-68:https ESTABLISHED
tcp        0      0 krabikUkrainian:39334   server-52-84-107-:https ESTABLISHED
tcp        0      0 krabikUkrainian:44520   lb-140-82-121-6-f:https ESTABLISHED
tcp        0      1 krabikUkrainian:39842   server-13-32-110-:https SYN_SENT   
tcp        0      0 krabikUkrainian:56080   waw07s03-in-f3.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:33938   server-99-86-241-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:40748   server-13-32-110-:https ESTABLISHED
tcp        0      0 krabikUkrainian:44900   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:43278   178.250.2.146:https     ESTABLISHED
tcp        0      0 krabikUkrainian:50510   kiev01.bunnyinfra:https ESTABLISHED
tcp        0      0 krabikUkrainian:55268   185.187.81.40:https     ESTABLISHED
tcp        0      0 krabikUkrainian:59298   waw02s07-in-f3.1e1:http ESTABLISHED
tcp        0      0 krabikUkrainian:36418   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:33848   ec2-52-43-61-226.:https ESTABLISHED
tcp        0      0 krabikUkrainian:58726   ec2-52-57-191-201:https ESTABLISHED
tcp        0      0 krabikUkrainian:40640   server-13-32-11-73:http ESTABLISHED
tcp        0      0 krabikUkrainian:55490   xx-fbcdn-shv-01-i:https ESTABLISHED
tcp        0      0 krabikUkrainian:33934   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:33940   server-99-86-241-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:45952   185.4.64.197:https      ESTABLISHED
tcp        0      0 krabikUkrainian:51250   172.67.150.184:https    ESTABLISHED
tcp        0      0 krabikUkrainian:53010   ec2-35-164-166-12:https ESTABLISHED
tcp        0      0 krabikUkrainian:49346   static.213-239-20:https ESTABLISHED
tcp        0      0 krabikUkrainian:49132   84.201.158.252:https    TIME_WAIT  
tcp        0      0 krabikUkrainian:39902   92.38.252.165:https     ESTABLISHED
tcp        0      0 krabikUkrainian:44904   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:39502   ec2-52-201-138-19:https ESTABLISHED
tcp        0      0 krabikUkrainian:45262   104.18.31.182:http      ESTABLISHED
tcp        0      0 krabikUkrainian:59518   server-99-86-246-:https ESTABLISHED
tcp        0      0 krabikUkrainian:49134   84.201.158.252:https    ESTABLISHED
tcp        0      0 krabikUkrainian:49544   123.208.120.34.bc:https ESTABLISHED
tcp        0      0 krabikUkrainian:40298   server-13-32-110-:https ESTABLISHED
tcp        0      0 krabikUkrainian:35482   78.154.186.216:http     TIME_WAIT  
tcp        0      0 krabikUkrainian:47806   82.221.107.34.bc.g:http ESTABLISHED
tcp        0      0 krabikUkrainian:42464   waw02s17-in-f6.1e:https TIME_WAIT  
tcp        0      0 krabikUkrainian:37574   93.184.220.66:https     ESTABLISHED
tcp        0      0 krabikUkrainian:58296   93.184.220.29:http      ESTABLISHED
tcp        0      0 krabikUkrainian:50514   kiev01.bunnyinfra:https ESTABLISHED
tcp        0      0 krabikUkrainian:52254   ltx2.host.hit.gem:https ESTABLISHED
tcp        0      0 krabikUkrainian:44912   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:46912   36.75.98.34.bc.go:https ESTABLISHED
tcp        0      0 krabikUkrainian:41050   Storojenko-63.col:https ESTABLISHED
tcp        0      0 krabikUkrainian:59294   waw02s07-in-f3.1e1:http ESTABLISHED
tcp        0      0 krabikUkrainian:35472   78.154.186.216:http     CLOSE_WAIT 
tcp        0      0 krabikUkrainian:41882   cloudproxy10024.su:http ESTABLISHED
tcp        0      0 krabikUkrainian:50316   104.19.147.8:https      ESTABLISHED
tcp        0      0 krabikUkrainian:34370   waw02s08-in-f202.:https TIME_WAIT  
tcp        0      0 krabikUkrainian:44048   a92-123-189-57.de:https ESTABLISHED
tcp        0      0 krabikUkrainian:36412   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:51466   239.237.117.34.bc:https ESTABLISHED
tcp        0      0 krabikUkrainian:49144   stylus.ua:https         TIME_WAIT  
tcp        0      0 krabikUkrainian:58820   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:40384   a-0001.a-msedge.n:https ESTABLISHED
tcp        0      0 krabikUkrainian:37362   ru.a.gcdn.co:https      TIME_WAIT  
tcp        0      0 krabikUkrainian:33930   server-99-86-241-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:50996   mil02s06-in-f2.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:50318   104.19.147.8:https      ESTABLISHED
tcp        0      0 krabikUkrainian:49136   84.201.158.252:https    TIME_WAIT  
tcp        0      0 krabikUkrainian:59102   cdn-185-199-108-1:https ESTABLISHED
tcp        0      0 krabikUkrainian:42496   server-99-86-241-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:49164   stylus.ua:https         TIME_WAIT  
tcp        0      0 krabikUkrainian:36472   ssl.sumo.beget.co:https ESTABLISHED
tcp        0      0 krabikUkrainian:44898   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:44902   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:35866   91.228.74.202:https     ESTABLISHED
tcp        0      0 krabikUkrainian:50940   151.101.113.108:https   ESTABLISHED
tcp        0      0 krabikUkrainian:50008   151.139.242.29:https    ESTABLISHED
tcp        0      0 krabikUkrainian:45882   185.4.64.197:https      TIME_WAIT  
tcp        0      0 krabikUkrainian:43838   104.16.95.65:https      ESTABLISHED
tcp        0      0 krabikUkrainian:41972   157.74.190.35.bc.:https ESTABLISHED
tcp        0      0 krabikUkrainian:57426   104.16.122.175:https    TIME_WAIT  
tcp        0      0 krabikUkrainian:59116   cdn-185-199-108-1:https TIME_WAIT  
tcp        0      0 krabikUkrainian:44914   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:59182   lb-140-82-114-25-:https ESTABLISHED
tcp        0      0 krabikUkrainian:44890   lb-140-82-121-3-f:https ESTABLISHED
tcp        0      0 krabikUkrainian:42466   waw02s17-in-f6.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:54632   104.18.7.29:https       TIME_WAIT  
tcp        0      0 krabikUkrainian:49650   ec2-54-211-193-13:https ESTABLISHED
tcp        0      0 krabikUkrainian:52680   78.154.186.192:https    ESTABLISHED
tcp        0      0 krabikUkrainian:49944   ec2-18-215-205-16:https ESTABLISHED
tcp        0      0 krabikUkrainian:39378   104.16.126.175:https    ESTABLISHED
tcp        0      0 krabikUkrainian:37992   waw07s05-in-f2.1e:https TIME_WAIT  
tcp        0      0 krabikUkrainian:58300   93.184.220.29:http      TIME_WAIT  
tcp        0      0 krabikUkrainian:56554   waw02s13-in-f14.1:https ESTABLISHED
tcp        0      0 krabikUkrainian:34368   waw02s08-in-f202.:https TIME_WAIT  
tcp        0      0 krabikUkrainian:49764   104.244.42.8:https      ESTABLISHED
tcp        0      0 krabikUkrainian:33030   wordpress.com:https     ESTABLISHED
tcp        0      0 krabikUkrainian:60372   le-in-f155.1e100.:https TIME_WAIT  
tcp        0      0 krabikUkrainian:59114   cdn-185-199-108-1:https TIME_WAIT  
tcp        0      0 krabikUkrainian:49142   84.201.158.252:https    TIME_WAIT  
tcp        0      1 krabikUkrainian:39840   server-13-32-110-:https SYN_SENT   
tcp        0      0 krabikUkrainian:52904   199.232.137.140:https   ESTABLISHED
tcp        0      0 krabikUkrainian:44908   162.159.153.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:58728   ec2-52-57-191-201:https TIME_WAIT  
tcp        0      0 krabikUkrainian:36416   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:52906   199.232.137.140:https   ESTABLISHED
tcp        0      0 krabikUkrainian:45142   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:41084   a184-30-24-241.de:https ESTABLISHED
tcp        0      0 krabikUkrainian:46088   lb-140-82-113-21-:https ESTABLISHED
tcp        0      0 krabikUkrainian:41082   a184-30-24-241.de:https ESTABLISHED
tcp        0      0 krabikUkrainian:33834   cdn-185-199-110-1:https ESTABLISHED
tcp        0      0 krabikUkrainian:60522   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:47808   82.221.107.34.bc.g:http ESTABLISHED
tcp        0      0 krabikUkrainian:52326   151.101.114.208:https   ESTABLISHED
tcp        0      0 krabikUkrainian:52908   104.26.9.178:https      ESTABLISHED
tcp        0      0 krabikUkrainian:54636   104.18.7.29:https       TIME_WAIT  
tcp        0      0 krabikUkrainian:60370   le-in-f155.1e100.:https TIME_WAIT  
tcp        0      0 krabikUkrainian:54628   104.18.7.29:https       ESTABLISHED
tcp        0      0 krabikUkrainian:52910   104.26.9.178:https      TIME_WAIT  
tcp        0      0 krabikUkrainian:39534   151.101.113.2:https     ESTABLISHED
tcp        0      0 krabikUkrainian:50948   178.250.0.157:https     ESTABLISHED
tcp        0      0 krabikUkrainian:40134   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:40638   162.159.152.4:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:33926   server-99-86-241-:https ESTABLISHED
tcp        0      1 krabikUkrainian:39844   server-13-32-110-:https SYN_SENT   
tcp        0      0 krabikUkrainian:39904   92.38.252.165:https     ESTABLISHED
tcp        0      0 krabikUkrainian:40644   server-13-32-11-73:http ESTABLISHED
tcp        0      0 krabikUkrainian:56380   91.228.74.226:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:35898   XiaoQiang:domain        TIME_WAIT  
tcp        0      0 krabikUkrainian:39328   server-52-84-107-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:40326   ec2-54-156-20-164:https ESTABLISHED
tcp        0      0 krabikUkrainian:38408   server-13-32-110-:https ESTABLISHED
tcp        0      0 krabikUkrainian:42468   waw02s17-in-f6.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:46968   13.107.42.14:https      ESTABLISHED
tcp        0      0 krabikUkrainian:33944   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:52142   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:53408   199.232.136.84:https    ESTABLISHED
tcp        0      0 krabikUkrainian:54630   104.18.7.29:https       TIME_WAIT  
tcp        0      0 krabikUkrainian:36410   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:47928   172.66.40.253:https     ESTABLISHED
tcp        0      0 krabikUkrainian:45880   185.4.64.197:https      TIME_WAIT  
tcp6       0      0 krabikUkrainian:1716    192.168.31.235:37388    ESTABLISHED
